index,chromosome,start,end,strand,intron_motif,n_cells,gene_id_start,gene_id_end,n_genes,gene_id,gene_name,intron_group,intron_group_size,n_genes_per_intron_group,coeff,abs_coeff,length
HMGN1_chr21:39345275-39345829,chr21,39345275,39345829,-,2,3170,ENSG00000205581,ENSG00000205581,1,ENSG00000205581,HMGN1,HMGN1_chr21_39345275_-,3,1,0.11301989299086193,0.11301989299086193,554
HMGN1_chr21:39345275-39347378,chr21,39345275,39347378,-,2,406,ENSG00000205581,ENSG00000205581,1,ENSG00000205581,HMGN1,HMGN1_chr21_39345275_-,3,1,-0.06964064032749417,0.06964064032749417,2103
CELF2_chr10:11004143-11165485,chr10,11004143,11165485,+,1,189,,ENSG00000048740,1,ENSG00000048740,CELF2,CELF2_chr10_11165485_+,6,1,-0.015481036193132014,0.015481036193132014,161342
CELF2_chr10:11005441-11165485,chr10,11005441,11165485,+,1,3297,ENSG00000048740,ENSG00000048740,1,ENSG00000048740,CELF2,CELF2_chr10_11165485_+,6,1,0.09695226629519188,0.09695226629519188,160044
CELF2_chr10:11005917-11165485,chr10,11005917,11165485,+,1,112,,ENSG00000048740,1,ENSG00000048740,CELF2,CELF2_chr10_11165485_+,6,1,0.1843070680171836,0.1843070680171836,159568
CELF2_chr10:11018164-11165485,chr10,11018164,11165485,+,1,654,ENSG00000048740,ENSG00000048740,1,ENSG00000048740,CELF2,CELF2_chr10_11165485_+,6,1,-0.08520033148416117,0.08520033148416117,147321
CELF2_chr10:11165318-11165485,chr10,11165318,11165485,+,1,175,ENSG00000048740,ENSG00000048740,1,ENSG00000048740,CELF2,CELF2_chr10_11165485_+,6,1,-0.43872529304077085,0.43872529304077085,167
MACROD1_chr11:63998688-63998837,chr11,63998688,63998837,-,2,807,ENSG00000133315,ENSG00000133315,1,ENSG00000133315,MACROD1,MACROD1_chr11_63998688_-,2,1,-0.230150333477331,0.230150333477331,149
PSD3_chr8:18655686-18683773,chr8,18655686,18683773,-,2,455,ENSG00000156011,ENSG00000156011,1,ENSG00000156011,PSD3,PSD3_chr8_18655686_-,2,1,0.2121513881858583,0.2121513881858583,28087
FAIM_chr3:138619771-138621406,chr3,138619771,138621406,+,1,247,ENSG00000158234,ENSG00000158234,1,ENSG00000158234,FAIM,FAIM_chr3_138621406_+,3,1,0.3581092209012364,0.3581092209012364,1635
SRSF2_chr17:76735159-76735771,chr17,76735159,76735771,-,2,571,ENSG00000161547,ENSG00000161547,1,ENSG00000161547,SRSF2,SRSF2_chr17_76735159_-,2,1,0.18387688466992938,0.18387688466992938,612
TPM1_chr15:63064143-63065895,chr15,63064143,63065895,+,1,256,ENSG00000140416,ENSG00000140416,1,ENSG00000140416,TPM1,TPM1_chr15_63065895_+,2,1,-0.30656440991459416,0.30656440991459416,1752
SPIRE1_chr18:12479872-12485958,chr18,12479872,12485958,-,2,149,ENSG00000134278,ENSG00000134278,1,ENSG00000134278,SPIRE1,SPIRE1_chr18_12479872_-,2,1,0.3304329244654686,0.3304329244654686,6086
SPTAN1_chr9:128593043-128594174,chr9,128593043,128594174,+,1,292,ENSG00000197694,ENSG00000197694,1,ENSG00000197694,SPTAN1,SPTAN1_chr9_128594174_+,2,1,0.34339430182290803,0.34339430182290803,1131
BPTF_chr17:67963507-67964211,chr17,67963507,67964211,+,1,794,ENSG00000171634,ENSG00000171634,1,ENSG00000171634,BPTF,BPTF_chr17_67964211_+,2,1,0.26139222809612656,0.26139222809612656,704
RPS27_chr1:153991035-153991114,chr1,153991035,153991114,+,1,3182,ENSG00000177954,ENSG00000177954,1,ENSG00000177954,RPS27,RPS27_chr1_153991114_+,2,1,0.06327081988606408,0.06327081988606408,79
DCTN2_chr12:57538525-57541363,chr12,57538525,57541363,-,2,1926,ENSG00000175203,ENSG00000175203,1,ENSG00000175203,DCTN2,DCTN2_chr12_57538525_-,2,1,0.15430556029752654,0.15430556029752654,2838
MXI1_chr10:110226284-110228188,chr10,110226284,110228188,+,1,256,ENSG00000119950,ENSG00000119950,1,ENSG00000119950,MXI1,MXI1_chr10_110228188_+,2,1,0.3121844057151925,0.3121844057151925,1904
CTNND2_chr5:11732273-11903171,chr5,11732273,11903171,-,2,470,ENSG00000169862,ENSG00000169862,1,ENSG00000169862,CTNND2,CTNND2_chr5_11732273_-,2,1,0.2304289234601542,0.2304289234601542,170898
PTMA_chr2:231711420-231712442,chr2,231711420,231712442,+,1,257,ENSG00000187514,ENSG00000187514,1,ENSG00000187514,PTMA,PTMA_chr2_231712442_+,4,1,-0.15679089966062693,0.15679089966062693,1022
PTMA_chr2:231711978-231712442,chr2,231711978,231712442,+,1,426,,ENSG00000187514,1,ENSG00000187514,PTMA,PTMA_chr2_231712442_+,4,1,0.01907376067287969,0.01907376067287969,464
PTMA_chr2:231711984-231712442,chr2,231711984,231712442,+,1,45258,ENSG00000187514,ENSG00000187514,1,ENSG00000187514,PTMA,PTMA_chr2_231712442_+,4,1,0.17688868350744152,0.17688868350744152,458
NCOR1_chr17:16149518-16151589,chr17,16149518,16151589,-,2,1147,ENSG00000141027,ENSG00000141027,1,ENSG00000141027,NCOR1,NCOR1_chr17_16149518_-,2,1,-0.12266801341237818,0.12266801341237818,2071
MYH10_chr17:8569813-8576642,chr17,8569813,8576642,-,4,277,ENSG00000133026,ENSG00000133026,1,ENSG00000133026,MYH10,MYH10_chr17_8569813_-,2,1,0.2827169544107615,0.2827169544107615,6829
IFI27L1_chr14:94100772-94102476,chr14,94100772,94102476,+,1,246,ENSG00000165948,ENSG00000165948,1,ENSG00000165948,IFI27L1,IFI27L1_chr14_94102476_+,4,1,0.0567070403002517,0.0567070403002517,1704
IFI27L1_chr14:94101976-94102476,chr14,94101976,94102476,+,1,933,ENSG00000165948,ENSG00000165948,1,ENSG00000165948,IFI27L1,IFI27L1_chr14_94102476_+,4,1,-0.27664321983049606,0.27664321983049606,500
ROBO2_chr3:77603061-77607797,chr3,77603061,77607797,+,1,357,ENSG00000185008,ENSG00000185008,1,ENSG00000185008,ROBO2,ROBO2_chr3_77607797_+,2,1,0.26301310221882346,0.26301310221882346,4736
ZFAS1_chr20:49278739-49279103,chr20,49278739,49279103,+,1,1706,ENSG00000177410,ENSG00000177410,1,ENSG00000177410,ZFAS1,ZFAS1_chr20_49279103_+,2,1,-0.08700332782747547,0.08700332782747547,364
MSMO1_chr4:165333626-165337788,chr4,165333626,165337788,+,1,2788,ENSG00000052802,ENSG00000052802,1,ENSG00000052802,MSMO1,MSMO1_chr4_165337788_+,2,1,-0.13579615625939964,0.13579615625939964,4162
HMGB1_chr13:30463695-30464160,chr13,30463695,30464160,-,2,152,ENSG00000189403,ENSG00000189403,1,ENSG00000189403,HMGB1,HMGB1_chr13_30463695_-,5,1,-0.3067793690987063,0.3067793690987063,465
HMGB1_chr13:30463695-30465795,chr13,30463695,30465795,-,2,20377,ENSG00000189403,ENSG00000189403,1,ENSG00000189403,HMGB1,HMGB1_chr13_30463695_-,5,1,-0.08702649154130127,0.08702649154130127,2100
HMGB1_chr13:30463695-30617215,chr13,30463695,30617215,-,2,882,ENSG00000189403,,1,ENSG00000189403,HMGB1,HMGB1_chr13_30463695_-,5,1,-0.021165575090753397,0.021165575090753397,153520
HMGB1_chr13:30463695-30617489,chr13,30463695,30617489,-,2,145,ENSG00000189403,,1,ENSG00000189403,HMGB1,HMGB1_chr13_30463695_-,5,1,-0.04131414872695277,0.04131414872695277,153794
ARHGAP21_chr10:24722280-24722485,chr10,24722280,24722485,-,2,451,ENSG00000107863,ENSG00000107863,1,ENSG00000107863,ARHGAP21,ARHGAP21_chr10_24722280_-,3,1,0.08272737834882767,0.08272737834882767,205
ARHGAP21_chr10:24722280-24723156,chr10,24722280,24723156,-,2,998,ENSG00000107863,ENSG00000107863,1,ENSG00000107863,ARHGAP21,ARHGAP21_chr10_24722280_-,3,1,-0.22473990669594415,0.22473990669594415,876
SHTN1_chr10:116968713-116973855,chr10,116968713,116973855,-,2,148,ENSG00000187164,ENSG00000187164,1,ENSG00000187164,SHTN1,SHTN1_chr10_116968713_-,3,1,-0.3115377581476306,0.3115377581476306,5142
TFDP2_chr3:142005545-142028578,chr3,142005545,142028578,-,2,1037,ENSG00000114126,ENSG00000114126,1,ENSG00000114126,TFDP2,TFDP2_chr3_142005545_-,3,1,-0.20678412583408012,0.20678412583408012,23033
TFDP2_chr3:142005545-142054114,chr3,142005545,142054114,-,2,413,ENSG00000114126,ENSG00000114126,1,ENSG00000114126,TFDP2,TFDP2_chr3_142005545_-,3,1,0.17511503445254856,0.17511503445254856,48569
CSPG5_chr3:47562762-47569070,chr3,47562762,47569070,-,2,242,ENSG00000114646,ENSG00000114646,1,ENSG00000114646,CSPG5,CSPG5_chr3_47562762_-,2,1,0.2405366649169262,0.2405366649169262,6308
PANTR1_chr2:104807844-104812358,chr2,104807844,104812358,-,2,1727,ENSG00000233639,,1,ENSG00000233639,PANTR1,PANTR1_chr2_104807844_-,3,1,-0.18688741280100363,0.18688741280100363,4514
PANTR1_chr2:104807844-104812432,chr2,104807844,104812432,-,2,16368,ENSG00000233639,ENSG00000233639,1,ENSG00000233639,PANTR1,PANTR1_chr2_104807844_-,3,1,-0.01782026521095434,0.01782026521095434,4588
ZFP62_chr5:180851494-180851987,chr5,180851494,180851987,-,2,309,ENSG00000196670,ENSG00000196670,1,ENSG00000196670,ZFP62,ZFP62_chr5_180851494_-,2,1,0.3501603633555806,0.3501603633555806,493
ANK3_chr10:60059431-60059697,chr10,60059431,60059697,-,2,141,ENSG00000151150,ENSG00000151150,1,ENSG00000151150,ANK3,ANK3_chr10_60059431_-,2,1,-0.35390767263448725,0.35390767263448725,266
EIF4A2_chr3:186788421-186789124,chr3,186788421,186789124,+,1,314,ENSG00000156976,ENSG00000156976,1,ENSG00000156976,EIF4A2,EIF4A2_chr3_186789124_+,2,1,-0.2086575314248692,0.2086575314248692,703
MORF4L2_chrX:103677052-103678498,chrX,103677052,103678498,-,2,3976,ENSG00000123562,ENSG00000123562,1,ENSG00000123562,MORF4L2,MORF4L2_chrX_103677052_-,2,1,-0.1304749913244901,0.1304749913244901,1446
AFDN_chr6:167827933-167864550,chr6,167827933,167864550,+,1,141,ENSG00000130396,ENSG00000130396,1,ENSG00000130396,AFDN,AFDN_chr6_167864550_+,2,1,0.30216662086633994,0.30216662086633994,36617
TTC3_chr21:37073474-37108391,chr21,37073474,37108391,+,1,3288,ENSG00000182670,ENSG00000182670,1,ENSG00000182670,TTC3,TTC3_chr21_37108391_+,4,1,0.037581891658974326,0.037581891658974326,34917
TTC3_chr21:37073484-37108391,chr21,37073484,37108391,+,1,387,,ENSG00000182670,1,ENSG00000182670,TTC3,TTC3_chr21_37108391_+,4,1,0.06090689929877169,0.06090689929877169,34907
TTC3_chr21:37096644-37108391,chr21,37096644,37108391,+,1,1834,ENSG00000182670,ENSG00000182670,1,ENSG00000182670,TTC3,TTC3_chr21_37108391_+,4,1,-0.14472911667114743,0.14472911667114743,11747
RPL41_chr12:56116800-56117481,chr12,56116800,56117481,+,1,381,ENSG00000229117,ENSG00000229117,1,ENSG00000229117,RPL41,RPL41_chr12_56117481_+,3,1,-0.10148992653226674,0.10148992653226674,681
RPL41_chr12:56117212-56117481,chr12,56117212,56117481,+,1,41675,ENSG00000229117,ENSG00000229117,1,ENSG00000229117,RPL41,RPL41_chr12_56117481_+,3,1,0.18834089722977498,0.18834089722977498,269
SNRPA1_chr15:101285802-101286213,chr15,101285802,101286213,-,2,2031,ENSG00000131876,ENSG00000131876,1,ENSG00000131876,SNRPA1,SNRPA1_chr15_101285802_-,2,1,-0.1487182645057131,0.1487182645057131,411
SPAG9_chr17:50974948-50975862,chr17,50974948,50975862,-,2,159,ENSG00000008294,ENSG00000008294,1,ENSG00000008294,SPAG9,SPAG9_chr17_50974948_-,2,1,-0.35749092489880274,0.35749092489880274,914
MARK3_chr14:103500201-103502881,chr14,103500201,103502881,+,1,990,ENSG00000075413,ENSG00000075413,1,ENSG00000075413,MARK3,MARK3_chr14_103502881_+,2,1,0.183572879113466,0.183572879113466,2680
SRSF1_chr17:58005042-58005413,chr17,58005042,58005413,-,2,257,ENSG00000136450,ENSG00000136450,1,ENSG00000136450,SRSF1,SRSF1_chr17_58005042_-,2,1,0.3568665010020741,0.3568665010020741,371
SATB2_chr2:199456097-199457338,chr2,199456097,199457338,-,2,3001,ENSG00000119042,ENSG00000119042,1,ENSG00000119042,SATB2,SATB2_chr2_199456097_-,2,1,-0.1423769597870904,0.1423769597870904,1241
TFG_chr3:100747455-100748148,chr3,100747455,100748148,+,1,159,ENSG00000114354,ENSG00000114354,1,ENSG00000114354,TFG,TFG_chr3_100748148_+,2,1,0.27814165655637796,0.27814165655637796,693
ZEB2_chr2:144517420-144518292,chr2,144517420,144518292,-,2,235,ENSG00000169554,ENSG00000169554,1,ENSG00000169554,ZEB2,ZEB2_chr2_144517420_-,2,1,-0.31461170387217857,0.31461170387217857,872
THRAP3_chr1:36287872-36289059,chr1,36287872,36289059,+,1,259,,ENSG00000054118,1,ENSG00000054118,THRAP3,THRAP3_chr1_36289059_+,2,1,-0.2078543577074105,0.2078543577074105,1187
SPAG9_chr17:51007327-51007836,chr17,51007327,51007836,-,2,960,ENSG00000008294,ENSG00000008294,1,ENSG00000008294,SPAG9,SPAG9_chr17_51007327_-,2,1,0.1324389818734952,0.1324389818734952,509
NUP54_chr4:76144474-76147478,chr4,76144474,76147478,-,2,160,ENSG00000138750,ENSG00000138750,1,ENSG00000138750,NUP54,NUP54_chr4_76144474_-,2,1,0.30948729965761024,0.30948729965761024,3004
OFD1_chrX:13740214-13744414,chrX,13740214,13744414,+,1,177,ENSG00000046651,ENSG00000046651,1,ENSG00000046651,OFD1,OFD1_chrX_13744414_+,2,1,0.28821898136637153,0.28821898136637153,4200
RPS15A_chr16:18784824-18786239,chr16,18784824,18786239,-,2,1290,ENSG00000134419,ENSG00000134419,1,ENSG00000134419,RPS15A,RPS15A_chr16_18784824_-,3,1,0.09559726385163891,0.09559726385163891,1415
RPS15A_chr16:18784824-18788062,chr16,18784824,18788062,-,2,51811,ENSG00000134419,ENSG00000134419,1,ENSG00000134419,RPS15A,RPS15A_chr16_18784824_-,3,1,-0.08814135605699616,0.08814135605699616,3238
SUGT1_chr13:52661571-52662648,chr13,52661571,52662648,+,1,2011,ENSG00000165416,ENSG00000165416,1,ENSG00000165416,SUGT1,SUGT1_chr13_52662648_+,2,1,0.11224161707461272,0.11224161707461272,1077
NSD3_chr8:38348216-38381589,chr8,38348216,38381589,-,2,630,ENSG00000147548,ENSG00000147548,1,ENSG00000147548,NSD3,NSD3_chr8_38348216_-,2,1,0.14603949175342656,0.14603949175342656,33373
HOPX_chr4:56656013-56656343,chr4,56656013,56656343,-,2,287,ENSG00000171476,ENSG00000171476,1,ENSG00000171476,HOPX,HOPX_chr4_56656013_-,3,1,0.2566154799723408,0.2566154799723408,330
HOPX_chr4:56656013-56681254,chr4,56656013,56681254,-,2,1270,ENSG00000171476,ENSG00000171476,1,ENSG00000171476,HOPX,HOPX_chr4_56656013_-,3,1,-0.1120195870404807,0.1120195870404807,25241
HNRNPA2B1_chr7:26191129-26191421,chr7,26191129,26191421,-,2,351,ENSG00000122566,,1,ENSG00000122566,HNRNPA2B1,HNRNPA2B1_chr7_26191129_-,2,1,-0.20888026142721336,0.20888026142721336,292
MATR3_chr5:139294029-139314674,chr5,139294029,139314674,+,1,1722,ENSG00000015479,ENSG00000015479,1,ENSG00000015479,MATR3,MATR3_chr5_139314674_+,3,1,0.1303238663795539,0.1303238663795539,20645
MATR3_chr5:139308328-139314674,chr5,139308328,139314674,+,1,4823,ENSG00000015479,ENSG00000015479,1,ENSG00000015479,MATR3,MATR3_chr5_139314674_+,3,1,-0.058490363096405235,0.058490363096405235,6346
GPM6A_chr4:175701768-175787335,chr4,175701768,175787335,-,2,290,ENSG00000150625,ENSG00000150625,1,ENSG00000150625,GPM6A,GPM6A_chr4_175701768_-,3,1,0.18966807039928174,0.18966807039928174,85567
MORF4L2_chrX:103685261-103686630,chrX,103685261,103686630,-,2,7331,ENSG00000123562,ENSG00000123562,1,ENSG00000123562,MORF4L2,MORF4L2_chrX_103685261_-,2,1,0.10814046811608238,0.10814046811608238,1369
PCMT1_chr6:149802417-149810615,chr6,149802417,149810615,+,1,3028,ENSG00000120265,ENSG00000120265,1,ENSG00000120265,PCMT1,PCMT1_chr6_149810615_+,2,1,0.0907043669439932,0.0907043669439932,8198
NBEAL1_chr2:203014983-203016155,chr2,203014983,203016155,+,1,606,ENSG00000144426,ENSG00000144426,1,ENSG00000144426,NBEAL1,NBEAL1_chr2_203016155_+,2,1,-0.2543766320880756,0.2543766320880756,1172
MZT2B_chr2:130182776-130190468,chr2,130182776,130190468,+,1,8492,ENSG00000152082,ENSG00000152082,1,ENSG00000152082,MZT2B,MZT2B_chr2_130190468_+,3,1,-0.15509384910619178,0.15509384910619178,7692
MZT2B_chr2:130183967-130190468,chr2,130183967,130190468,+,1,282,ENSG00000152082,ENSG00000152082,1,ENSG00000152082,MZT2B,MZT2B_chr2_130190468_+,3,1,0.1740081718383557,0.1740081718383557,6501
UPF3A_chr13:114282944-114286518,chr13,114282944,114286518,+,1,420,ENSG00000169062,ENSG00000169062,1,ENSG00000169062,UPF3A,UPF3A_chr13_114286518_+,4,1,-0.1734989334232711,0.1734989334232711,3574
UPF3A_chr13:114284359-114286518,chr13,114284359,114286518,+,1,158,,ENSG00000169062,1,ENSG00000169062,UPF3A,UPF3A_chr13_114286518_+,4,1,0.03763267474382796,0.03763267474382796,2159
UPF3A_chr13:114286401-114286518,chr13,114286401,114286518,+,1,2453,ENSG00000169062,ENSG00000169062,1,ENSG00000169062,UPF3A,UPF3A_chr13_114286518_+,4,1,0.1587077687640247,0.1587077687640247,117
NSFL1C_chr20:1455133-1455713,chr20,1455133,1455713,-,2,753,ENSG00000088833,ENSG00000088833,1,ENSG00000088833,NSFL1C,NSFL1C_chr20_1455133_-,2,1,0.21215514038948985,0.21215514038948985,580
NNAT_chr20:37522434-37522666,chr20,37522434,37522666,+,1,198,ENSG00000053438,ENSG00000053438,1,ENSG00000053438,NNAT,NNAT_chr20_37522666_+,4,1,-0.002583404731508754,0.002583404731508754,232
NNAT_chr20:37522439-37522666,chr20,37522439,37522666,+,1,3706,ENSG00000053438,ENSG00000053438,1,ENSG00000053438,NNAT,NNAT_chr20_37522666_+,4,1,-0.07009733388805639,0.07009733388805639,227
EIF3K_chr19:38632497-38634992,chr19,38632497,38634992,+,1,1447,ENSG00000178982,ENSG00000178982,1,ENSG00000178982,EIF3K,EIF3K_chr19_38634992_+,3,1,0.08902085433088286,0.08902085433088286,2495
EIF3K_chr19:38632679-38634992,chr19,38632679,38634992,+,1,11165,ENSG00000178982,ENSG00000178982,1,ENSG00000178982,EIF3K,EIF3K_chr19_38634992_+,3,1,-0.09010433092727266,0.09010433092727266,2313
RSRC2_chr12:122519052-122520503,chr12,122519052,122520503,-,2,641,ENSG00000111011,ENSG00000111011,1,ENSG00000111011,RSRC2,RSRC2_chr12_122519052_-,2,1,-0.21426779152375264,0.21426779152375264,1451
H3F3A_chr1:226065810-226071350,chr1,226065810,226071350,+,1,6208,ENSG00000163041,ENSG00000163041,1,ENSG00000163041,H3F3A,H3F3A_chr1_226071350_+,3,1,-0.25770535146604806,0.25770535146604806,5540
RPL27_chr17:42998832-42999932,chr17,42998832,42999932,+,1,33987,ENSG00000131469,ENSG00000131469,1,ENSG00000131469,RPL27,RPL27_chr17_42999932_+,2,1,0.15564219579772975,0.15564219579772975,1100
TULP4_chr6:158282379-158312050,chr6,158282379,158312050,+,1,1097,ENSG00000130338,ENSG00000130338,1,ENSG00000130338,TULP4,TULP4_chr6_158312050_+,3,1,0.14613252170382116,0.14613252170382116,29671
TULP4_chr6:158310484-158312050,chr6,158310484,158312050,+,1,320,ENSG00000130338,ENSG00000130338,1,ENSG00000130338,TULP4,TULP4_chr6_158312050_+,3,1,-0.020452809490084434,0.020452809490084434,1566
G3BP2_chr4:75648742-75653982,chr4,75648742,75653982,-,2,461,ENSG00000138757,ENSG00000138757,1,ENSG00000138757,G3BP2,G3BP2_chr4_75648742_-,2,1,0.1628789832229742,0.1628789832229742,5240
PCM1_chr8:17924781-17935588,chr8,17924781,17935588,+,1,3424,ENSG00000078674,ENSG00000078674,1,ENSG00000078674,PCM1,PCM1_chr8_17935588_+,4,1,-0.02773443006834972,0.02773443006834972,10807
PCM1_chr8:17934859-17935588,chr8,17934859,17935588,+,1,347,ENSG00000078674,ENSG00000078674,1,ENSG00000078674,PCM1,PCM1_chr8_17935588_+,4,1,0.018540241008905223,0.018540241008905223,729
PCM1_chr8:17935318-17935588,chr8,17935318,17935588,+,1,583,,ENSG00000078674,1,ENSG00000078674,PCM1,PCM1_chr8_17935588_+,4,1,0.2233921111810123,0.2233921111810123,270
SNU13_chr22:41680365-41682355,chr22,41680365,41682355,-,2,4283,ENSG00000100138,ENSG00000100138,1,ENSG00000100138,SNU13,SNU13_chr22_41680365_-,2,1,0.06170756664929077,0.06170756664929077,1990
MYO6_chr6:75846977-75848350,chr6,75846977,75848350,+,1,147,ENSG00000196586,ENSG00000196586,1,ENSG00000196586,MYO6,MYO6_chr6_75848350_+,2,1,0.29956335820626717,0.29956335820626717,1373
ICK_chr6:53041409-53045665,chr6,53041409,53045665,-,2,378,ENSG00000112144,,1,ENSG00000112144,ICK,ICK_chr6_53041409_-,3,1,-0.048028725431450536,0.048028725431450536,4256
ICK_chr6:53041409-53060935,chr6,53041409,53060935,-,2,180,ENSG00000112144,ENSG00000112144,1,ENSG00000112144,ICK,ICK_chr6_53041409_-,3,1,0.2929432086762215,0.2929432086762215,19526
RBFOX1_chr16:6483545-6654602,chr16,6483545,6654602,+,1,3413,ENSG00000078328,ENSG00000078328,1,ENSG00000078328,RBFOX1,RBFOX1_chr16_6654602_+,3,1,0.00040709857123032156,0.00040709857123032156,171057
RBFOX1_chr16:6483915-6654602,chr16,6483915,6654602,+,1,3550,ENSG00000078328,ENSG00000078328,1,ENSG00000078328,RBFOX1,RBFOX1_chr16_6654602_+,3,1,0.09082122323673862,0.09082122323673862,170687
RPL14_chr3:40457475-40457889,chr3,40457475,40457889,+,1,2260,ENSG00000188846,ENSG00000188846,1,ENSG00000188846,RPL14,RPL14_chr3_40457889_+,3,1,0.10969638686950912,0.10969638686950912,414
RPL14_chr3:40457748-40457889,chr3,40457748,40457889,+,1,149,ENSG00000188846,ENSG00000188846,1,ENSG00000188846,RPL14,RPL14_chr3_40457889_+,3,1,-0.07977383239186105,0.07977383239186105,141
RNF130_chr5:179955670-179963470,chr5,179955670,179963470,-,2,1499,ENSG00000113269,ENSG00000113269,1,ENSG00000113269,RNF130,RNF130_chr5_179955670_-,2,1,-0.19622415991088754,0.19622415991088754,7800
VCAN_chr5:83522310-83537006,chr5,83522310,83537006,+,1,413,ENSG00000038427,ENSG00000038427,1,ENSG00000038427,VCAN,VCAN_chr5_83537006_+,2,1,-0.1649924265790995,0.1649924265790995,14696
TACC2_chr10:122229487-122237394,chr10,122229487,122237394,+,1,127,ENSG00000138162,ENSG00000138162,1,ENSG00000138162,TACC2,TACC2_chr10_122237394_+,2,1,0.41803778739064024,0.41803778739064024,7907
PANTR1_chr2:104812619-104812708,chr2,104812619,104812708,-,2,12042,ENSG00000233639,ENSG00000233639,1,ENSG00000233639,PANTR1,PANTR1_chr2_104812619_-,2,1,-0.1092750715390507,0.1092750715390507,89
FAM49B_chr8:129903351-129904498,chr8,129903351,129904498,-,2,1138,ENSG00000153310,ENSG00000153310,1,ENSG00000153310,FAM49B,FAM49B_chr8_129903351_-,3,1,0.06905938911496269,0.06905938911496269,1147
FAM49B_chr8:129903351-129939607,chr8,129903351,129939607,-,2,709,ENSG00000153310,ENSG00000153310,1,ENSG00000153310,FAM49B,FAM49B_chr8_129903351_-,3,1,-0.20429054425218676,0.20429054425218676,36256
AKAP8L_chr19:15397856-15398629,chr19,15397856,15398629,-,2,129,ENSG00000011243,ENSG00000011243,1,ENSG00000011243,AKAP8L,AKAP8L_chr19_15397856_-,2,1,0.3645671209573046,0.3645671209573046,773
MICU3_chr8:17069720-17077782,chr8,17069720,17077782,+,1,1248,ENSG00000155970,ENSG00000155970,1,ENSG00000155970,MICU3,MICU3_chr8_17077782_+,2,1,0.17947444255046424,0.17947444255046424,8062
PHF14_chr7:10983160-10990702,chr7,10983160,10990702,+,1,560,ENSG00000106443,ENSG00000106443,1,ENSG00000106443,PHF14,PHF14_chr7_10990702_+,2,1,-0.19294965885640863,0.19294965885640863,7542
SNHG5_chr6:85677493-85677794,chr6,85677493,85677794,-,2,4718,ENSG00000203875,ENSG00000203875,1,ENSG00000203875,SNHG5,SNHG5_chr6_85677493_-,3,1,-0.09403366689364274,0.09403366689364274,301
SNHG5_chr6:85677493-85677953,chr6,85677493,85677953,-,2,1455,ENSG00000203875,ENSG00000203875,1,ENSG00000203875,SNHG5,SNHG5_chr6_85677493_-,3,1,-0.004112048487316611,0.004112048487316611,460
RPL22_chr1:6186817-6192929,chr1,6186817,6192929,-,2,2925,ENSG00000116251,ENSG00000116251,1,ENSG00000116251,RPL22,RPL22_chr1_6186817_-,2,1,-0.2226065268654229,0.2226065268654229,6112
C12orf75_chr12:105365843-105366616,chr12,105365843,105366616,+,1,935,ENSG00000235162,ENSG00000235162,1,ENSG00000235162,C12orf75,C12orf75_chr12_105366616_+,2,1,-0.1802842157633054,0.1802842157633054,773
ITSN2_chr2:24275850-24284762,chr2,24275850,24284762,-,2,158,ENSG00000198399,ENSG00000198399,1,ENSG00000198399,ITSN2,ITSN2_chr2_24275850_-,2,1,0.3352974633170079,0.3352974633170079,8912
MATR3_chr5:139293806-139307238,chr5,139293806,139307238,+,1,5802,ENSG00000015479,ENSG00000015479,1,ENSG00000015479,MATR3,MATR3_chr5_139307238_+,3,1,-0.03535721477544132,0.03535721477544132,13432
MATR3_chr5:139294029-139307238,chr5,139294029,139307238,+,1,1373,ENSG00000015479,ENSG00000015479,1,ENSG00000015479,MATR3,MATR3_chr5_139307238_+,3,1,0.13963326914715393,0.13963326914715393,13209
YWHAZ_chr8:100948901-100951928,chr8,100948901,100951928,-,2,8788,ENSG00000164924,ENSG00000164924,1,ENSG00000164924,YWHAZ,YWHAZ_chr8_100948901_-,5,1,0.04229055003493988,0.04229055003493988,3027
YWHAZ_chr8:100948901-100952849,chr8,100948901,100952849,-,2,941,ENSG00000164924,ENSG00000164924,1,ENSG00000164924,YWHAZ,YWHAZ_chr8_100948901_-,5,1,-0.1702882726078649,0.1702882726078649,3948
SAT2_chr17:7626794-7626942,chr17,7626794,7626942,-,2,2717,ENSG00000141504,ENSG00000141504,1,ENSG00000141504,SAT2,SAT2_chr17_7626794_-,2,1,0.10960027233384892,0.10960027233384892,148
CSNK1A1_chr5:149496861-149505446,chr5,149496861,149505446,-,2,950,ENSG00000113712,ENSG00000113712,1,ENSG00000113712,CSNK1A1,CSNK1A1_chr5_149496861_-,2,1,0.1703818625680124,0.1703818625680124,8585
METTL9_chr16:21612836-21617864,chr16,21612836,21617864,+,1,3349,ENSG00000197006,ENSG00000197006,1,ENSG00000197006,METTL9,METTL9_chr16_21617864_+,2,1,-0.12052743784068404,0.12052743784068404,5028
PIN4_chrX:72186535-72196784,chrX,72186535,72196784,+,1,4115,ENSG00000102309,ENSG00000102309,1,ENSG00000102309,PIN4,PIN4_chrX_72196784_+,2,1,-0.1996454548812725,0.1996454548812725,10249
FBXW11_chr5:171914406-171957596,chr5,171914406,171957596,-,2,285,ENSG00000072803,ENSG00000072803,1,ENSG00000072803,FBXW11,FBXW11_chr5_171914406_-,3,1,0.28828539276227116,0.28828539276227116,43190
